a,mass ratio,eccentricity,impactor,b,status
wide,equal mass,0,110.0,5.2,bound
tight,10x mass,0,210.0,6.0,bound
wide,equal mass,0,230.0,5.8,bound
tight,3x mass,0,250.0,7.0,bound
wide,equal mass,0,150.0,7.6,bound
tight,equal mass,0.2,50.0,5.0,bound
wide,equal mass,0,400.0,6.4,swapped
wide,equal mass,0,120.0,1.2,bound
wide,equal mass,0,90.0,5.4,bound
very tight,equal mass,0,10.0,1.0,bound
wide,equal mass,0,140.0,3.2,swapped
wide,equal mass,0,360.0,6.4,bound
tight,equal mass,0,170.0,6.0,bound
very wide,equal mass,0.4,210.0,4.0,swapped
very wide,10x mass,0,290.0,1.0,collision
wide,equal mass,0,170.0,5.6,bound
wide,equal mass,0,220.0,7.0,bound
tight,equal mass,0.2,250.0,4.0,swapped
tight,equal mass,0.2,30.0,5.0,bound
wide,equal mass,0,70.0,3.8,bound
very wide,3x mass,0,210.0,5.0,bound
very wide,10x mass,0,270.0,6.0,disrupted
very wide,10x mass,0,210.0,4.0,collision
wide,equal mass,0,70.0,7.0,bound
wide,equal mass,0,130.0,6.6,bound
wide,equal mass,0,350.0,3.4,swapped
wide,equal mass,0,310.0,3.0,swapped
tight,equal mass,0.2,270.0,1.0,swapped
tight,10x mass,0,250.0,3.0,swapped
wide,equal mass,0,380.0,2.6,bound
wide,equal mass,0,140.0,7.8,bound
wide,equal mass,0,290.0,5.2,swapped
tight,equal mass,0.2,90.0,8.0,bound
wide,equal mass,0,70.0,5.4,bound
very wide,equal mass,0.2,210.0,6.0,bound
wide,equal mass,0,360.0,2.6,disrupted
wide,equal mass,0,370.0,7.2,collision
very wide,3x mass,0,90.0,1.0,bound
wide,equal mass,0,330.0,7.6,bound
wide,equal mass,0,90.0,5.2,bound
wide,equal mass,0,120.0,6.0,bound
wide,equal mass,0,250.0,4.0,swapped
wide,equal mass,0,180.0,5.6,bound
wide,equal mass,0,40.0,7.2,bound
wide,equal mass,0,270.0,3.2,swapped
wide,equal mass,0,150.0,8.0,bound
tight,3x mass,0,210.0,7.0,bound
tight,equal mass,0,230.0,2.0,bound
wide,equal mass,0,80.0,5.8,bound
wide,equal mass,0,170.0,2.8,collision
wide,equal mass,0,90.0,3.4,bound
very wide,3x mass,0,210.0,7.0,bound
wide,equal mass,0,370.0,2.6,disrupted
wide,equal mass,0,110.0,2.8,swapped
wide,10x mass,0,130.0,2.0,bound
wide,10x mass,0,150.0,6.0,bound
tight,equal mass,0.2,90.0,6.0,bound
wide,equal mass,0,380.0,1.0,swapped
wide,equal mass,0,120.0,6.8,bound
tight,10x mass,0,110.0,2.0,collision
wide,equal mass,0,400.0,5.0,swapped
tight,equal mass,0.4,70.0,3.0,bound
tight,equal mass,0.2,290.0,2.0,bound
wide,equal mass,0,150.0,3.0,swapped
